"timestamp.ms","jerk.cost.m2s5"
71945,NA
72736.016,40171.485
73497.734,41969.346
74269.219,50410.554
75030.938,47856.657
75802.422,47980.795
76573.906,42700.034
77345.391,49369.225
78126.641,51892.619
78907.891,52084.281
79698.906,47530.622
80470.391,49515.617
81241.875,44060.506
82003.594,50238.712
82784.844,48244.403
83566.094,51567.347
84337.578,46266.583
85118.828,49270.026
85919.609,44495.186
86691.094,42358.995
87482.109,42564.725
88243.828,47291.95
89025.078,48015.586
89806.328,48192.979
90587.578,46758.081
91359.062,47975.143
92140.312,48832.284
92941.094,48590.785
93712.578,41957.646
94493.828,47677.864
95275.078,44852.135
96066.094,45242.572
96857.109,39396.505
97648.125,40468.818
98439.141,45076.166
99239.922,49545.734
100021.172,41217.119
100812.188,46990.564
101603.203,48747.292
102374.688,45650.471
103165.703,45558.125
103927.422,47680.714
104718.438,45245.867
105499.688,46589.091
106280.938,46835.092
107071.953,42498.89
107853.203,41566.215
108644.219,51172.702
109415.703,43598.961
110206.719,47972.218
110968.438,46193.131
111759.453,42142.124
112521.172,45590.907
113312.188,46419.821
114083.672,42924.308
114855.156,40375.177
115636.406,49083.928
116407.891,46125.004
117198.906,48634.826
117970.391,46431.136
118741.875,45177.903
119532.891,53466.751
120294.609,43217.521
121075.859,48218.168
121847.344,46556.552
122618.828,44323.239
123409.844,53616.298
124171.562,43259.948
124943.047,51883.3
125714.531,49287.622
126466.484,51176.488
127247.734,48751.01
128019.219,50149.022
128800.469,50668.658
129562.188,47258.864
130343.438,46280.636
131114.922,49009.546
131896.172,49502.961
132667.656,46974.186
133439.141,51758.479
134220.391,45639.166
134982.109,44858.109
135753.594,45866.78
136534.844,47613.255
137296.562,40729.581
138087.578,55491.7
138849.297,48339.375
139620.781,43715.84
140382.5,46377.58
141163.75,47059.697
141935.234,48777.801
142696.953,43304.644
143478.203,50287.409
144239.922,50121.319
144991.875,44748.088
145773.125,49962.704
146515.312,43884.036
147325.859,54491.4
148068.047,44579.352
148859.062,49827.397
149620.781,44013.049
150402.031,46017.095
151173.516,48257.55
151945,42201.838
152726.25,47579.803
153517.266,43845.975
154298.516,46201.377
155070,47335.282
155841.484,43002.134
156612.969,50475.062
157355.156,42112.969
158146.172,47924.339
158917.656,41469.386
159679.375,45596.888
160441.094,43745.715
161232.109,43307.21
162003.594,46029.547
162784.844,49999.644
163556.328,44082.833
164327.812,45837.161
165099.297,45351.976
165870.781,43066.684
166652.031,43929.421
167413.75,47447.758
168175.469,46478.125
168956.719,45680.566
169708.672,42215.318
170470.391,47310.624
171261.406,47744.216
172013.359,39166.756
172794.609,44893.678
173566.094,47342.822
174337.578,42913.161
175128.594,47393.739
175909.844,43446.494
176681.328,42104.116
177452.812,45153.643
178243.828,41903.123
179015.312,39391.034
179777.031,39635.652
180548.516,45572.266
181310.234,45850.099
182091.484,50085.196
182843.438,42303.356
183634.453,49725.917
184405.938,44679.012
185177.422,52446.564
185939.141,46070.678
186720.391,52713.573
187511.406,50880.349
188263.359,39864.574
189054.375,50343.961
189825.859,46624.698
190616.875,43768.625
191407.891,46247.523
192179.375,38765.875
192960.625,44308.178
193751.641,47722.082
194532.891,45737.708
195314.141,46090.337
196085.625,45867.104
196876.641,47177.003
197638.359,38475.43
198439.141,48211.141
199210.625,39482.689
199982.109,39609.703
200782.891,44575.525
201564.141,40369.634
202345.391,40820.225
203136.406,39673.925
203927.422,41626.667
204698.906,36832.302
205480.156,41447.401
206271.172,46812.996
207032.891,40397.536
207843.438,44240.293
208614.922,42187.409
209396.172,43727.887
210187.188,43733.525
210968.438,40137.406
211769.219,43998.492
212540.703,38408.208
213331.719,44884.554
