"timestamp.ms","jerk.cost.m2s5"
71509.312,NA
72319.859,51764.577
73130.406,52125.124
73882.359,49342.754
74663.609,54750.778
75415.562,49348.483
76187.047,54148.515
76919.469,42358.345
77730.016,55768.011
78511.266,50815.437
79292.516,44927.407
80083.531,46884.854
80855.016,51245.522
81636.266,52935.293
82388.219,44403.94
83179.234,50080.391
83950.719,52361.265
84731.969,51610.132
85522.984,46298.585
86304.234,50095.183
87065.953,51235.339
87876.5,51361.238
88647.984,50505.189
89419.469,51114.1
90190.953,43280.852
90972.203,53067.99
91743.688,46000.998
92534.703,43571.129
93315.953,50363.6
94097.203,52442.688
94878.453,50959.91
95659.703,48032.254
96450.719,51231.744
97231.969,45369.696
98042.516,47349.253
98833.531,46348.632
99614.781,42201.767
100415.562,48956.78
101206.578,46815.5
101987.828,47254.62
102759.312,41512.385
103550.328,46062.176
104312.047,42367.007
105103.062,47185.367
105894.078,43870.588
106665.562,48225.917
107466.344,51875.05
108247.594,46043.04
109019.078,48034.565
109800.328,46485.987
110581.578,51148.223
111362.828,48564.591
112144.078,41442.136
112915.562,45485.867
113696.812,44258.167
114478.062,47539.024
115249.547,51471.816
116021.031,44578.291
116792.516,44019.912
117573.766,51635.293
118335.484,40741.091
119136.266,49440.841
119907.75,49431.988
120689,48834.98
121460.484,45966.947
122241.734,49037.928
123022.984,45254.213
123794.469,55219.56
124565.953,48164.605
125327.672,51261.151
126089.391,45859.416
126831.578,46171.843
127632.359,53788.233
128403.844,52501.342
129175.328,44423.94
129946.812,47310.813
130718.297,54638.013
131499.547,50214.364
132280.797,53765.836
133022.984,38681.368
133823.766,56496.884
134595.25,48055.669
135366.734,46147.507
136138.219,46675.925
136919.469,52914.948
137690.953,44333.598
138462.438,45302.853
139204.625,42428.466
139995.641,55774.494
140767.125,50379.474
141538.609,48955.072
142310.094,54669.572
143071.812,47835.296
143843.297,48790.562
144614.781,48544.858
145356.969,42740.71
146147.984,45082.643
146919.469,43047.5
147690.953,43511.559
148462.438,48659.291
149233.922,48932.212
149985.875,41782.635
150776.891,51765.148
151528.844,45003.177
152329.625,54202.191
153101.109,48621.386
153882.359,40713.626
154653.844,43439.591
155454.625,46399.364
156206.578,44614.814
156997.594,53973.786
157749.547,45544.989
158521.031,42042.209
159302.281,52406.223
160073.766,42566.621
