# StartTime: 2016/03/14 18:18:53
timestamp.ms,rr.interval.s
253.77001953125,1.23
1483.77001953125,1.205
2688.77001953125,1.265
3953.77001953125,1.23
5183.77001953125,1.295
6478.77001953125,1.296
7774.77001953125,1.352
9126.77001953125,1.179
10305.77001953125,1.192
11497.77001953125,1.078
12575.77001953125,1.002
13577.77001953125,0.97
14547.77001953125,0.985
15532.77001953125,1.003
16535.77001953125,1.306
17841.77001953125,1.148
18989.77001953125,1.17
20159.77001953125,1.158
21317.77001953125,1.181
22498.77001953125,1.145
23643.77001953125,1.175
24818.77001953125,1.221
26039.77001953125,1.284
27323.77001953125,1.283
28606.77001953125,1.322
29928.77001953125,1.354
31282.77001953125,1.345
32627.77001953125,1.391
34018.77001953125,1.286
35304.77001953125,1.315
36619.77001953125,1.184
37803.77001953125,1.209
39012.77001953125,1.257
40269.77001953125,1.292
41561.77001953125,1.367
42928.77001953125,1.234
44162.77001953125,1.121
45283.77001953125,1.002
46285.77001953125,0.933
47218.77001953125,0.918
48136.77001953125,0.978
49114.77001953125,0.964
50078.77001953125,0.943
51021.77001953125,0.973
51994.77001953125,0.981
52975.77001953125,0.984
53959.77001953125,0.917
54876.77001953125,0.916
55792.77001953125,0.936
56728.77001953125,0.846
57574.77001953125,0.803
58377.77001953125,0.8
59177.77001953125,0.767
59944.77001953125,0.765
60709.77001953125,0.813
61522.77001953125,0.893
62415.77001953125,0.888
63303.77001953125,0.886
64189.77001953125,0.889
65078.77001953125,0.854
65932.77001953125,0.852
66784.77001953125,0.862
67646.77001953125,0.842
68488.77001953125,0.872
69360.77001953125,0.871
70231.77001953125,0.907
71138.77001953125,0.897
72035.77001953125,0.884
72919.77001953125,0.785
73704.77001953125,0.747
74451.77001953125,0.737
75188.77001953125,0.676
75864.77001953125,0.684
76548.77001953125,0.653
77201.77001953125,0.658
77859.77001953125,0.635
78494.77001953125,0.628
79122.77001953125,0.613
79735.77001953125,0.62
80355.77001953125,0.502
80857.77001953125,0.104
80961.77001953125,0.603
81564.77001953125,0.591
82155.77001953125,0.586
82741.77001953125,0.589
83330.77001953125,0.572
83902.77001953125,0.575
84477.77001953125,0.561
85038.77001953125,0.568
85606.77001953125,0.548
86154.77001953125,0.552
86706.77001953125,0.553
87259.77001953125,0.535
87794.77001953125,0.543
88337.77001953125,0.532
88869.77001953125,0.535
89404.77001953125,0.528
89932.77001953125,0.52
90452.77001953125,0.52
90972.77001953125,0.508
91480.77001953125,0.271
91751.77001953125,0.237
91988.77001953125,0.505
92493.77001953125,0.51
93003.77001953125,0.501
93504.77001953125,0.503
94007.77001953125,1.001
95008.77001953125,0.492
95500.77001953125,0.5
96000.77001953125,0.494
96494.77001953125,0.498
96992.77001953125,0.488
97480.77001953125,0.494
97974.77001953125,0.491
98465.77001953125,0.494
98959.77001953125,0.488
99447.77001953125,0.49
99937.77001953125,0.494
100431.77001953125,0.488
100919.77001953125,0.484
101403.77001953125,0.493
101896.77001953125,0.487
102383.77001953125,0.39
102773.77001953125,0.588
103361.77001953125,0.488
103849.77001953125,0.49
104339.77001953125,0.488
104827.77001953125,0.488
105315.77001953125,0.977
106292.77001953125,0.498
106790.77001953125,0.486
107276.77001953125,0.491
107767.77001953125,0.988
108755.77001953125,0.486
109241.77001953125,0.49
109731.77001953125,0.491
110222.77001953125,0.491
110713.77001953125,0.483
111196.77001953125,0.489
111685.77001953125,0.488
112173.77001953125,0.484
112657.77001953125,0.481
113138.77001953125,0.964
114102.77001953125,0.488
114590.77001953125,0.478
115068.77001953125,0.48
115548.77001953125,0.49
116038.77001953125,0.481
116519.77001953125,0.479
116998.77001953125,0.479
117477.77001953125,0.48
117957.77001953125,0.486
118443.77001953125,0.483
118926.77001953125,0.472
119398.77001953125,0.483
119881.77001953125,0.477
120358.77001953125,0.484
120842.77001953125,0.471
121313.77001953125,0.475
121788.77001953125,0.483
122271.77001953125,0.484
122755.77001953125,0.473
123228.77001953125,0.477
123705.77001953125,0.481
124186.77001953125,0.956
125142.77001953125,0.468
125610.77001953125,0.481
126091.77001953125,0.478
126569.77001953125,0.345
126914.77001953125,0.133
127047.77001953125,0.467
127514.77001953125,0.474
127988.77001953125,0.477
128465.77001953125,0.474
128939.77001953125,0.463
129402.77001953125,0.47
129872.77001953125,0.474
130346.77001953125,0.404
130750.77001953125,0.535
131285.77001953125,0.459
131744.77001953125,0.929
132673.77001953125,0.934
133607.77001953125,0.459
134066.77001953125,0.465
134531.77001953125,0.462
134993.77001953125,0.462
135455.77001953125,0.918
136373.77001953125,0.454
136827.77001953125,0.467
137294.77001953125,0.463
137757.77001953125,0.458
138215.77001953125,0.454
138669.77001953125,0.458
139127.77001953125,0.464
139591.77001953125,0.461
140052.77001953125,0.461
140513.77001953125,0.462
140975.77001953125,0.451
141426.77001953125,0.462
141888.77001953125,0.467
142355.77001953125,0.465
142820.77001953125,0.46
143280.77001953125,0.458
143738.77001953125,0.465
144203.77001953125,0.462
144665.77001953125,0.465
145130.77001953125,0.46
145590.77001953125,0.451
146041.77001953125,0.46
146501.77001953125,0.467
146968.77001953125,0.464
147432.77001953125,0.907
148339.77001953125,0.459
148798.77001953125,0.462
149260.77001953125,0.459
149719.77001953125,0.457
150176.77001953125,0.451
150627.77001953125,0.454
151081.77001953125,0.46
151541.77001953125,0.457
151998.77001953125,0.457
152455.77001953125,0.903
153358.77001953125,0.907
154265.77001953125,0.462
154727.77001953125,0.452
155179.77001953125,0.448
155627.77001953125,0.9
156527.77001953125,0.904
157431.77001953125,0.456
157887.77001953125,0.455
158342.77001953125,0.447
158789.77001953125,0.453
159242.77001953125,0.454
159696.77001953125,0.456
160152.77001953125,0.455
160607.77001953125,0.448
161055.77001953125,0.575
161630.77001953125,0.325
161955.77001953125,0.918
162873.77001953125,0.453
163326.77001953125,0.449
163775.77001953125,0.454
164229.77001953125,0.909
165138.77001953125,0.461
165599.77001953125,0.457
166056.77001953125,0.449
166505.77001953125,0.91
167415.77001953125,0.461
167876.77001953125,0.461
168337.77001953125,0.454
168791.77001953125,0.587
169378.77001953125,0.323
169701.77001953125,0.457
170158.77001953125,0.458
170616.77001953125,0.903
171519.77001953125,0.459
171978.77001953125,0.456
172434.77001953125,0.461
172895.77001953125,0.46
173355.77001953125,0.447
173802.77001953125,0.453
174255.77001953125,0.459
174714.77001953125,0.914
175628.77001953125,0.458
176086.77001953125,0.45
176536.77001953125,0.911
177447.77001953125,0.416
177863.77001953125,0.512
178375.77001953125,0.451
178826.77001953125,0.456
179282.77001953125,0.462
179744.77001953125,0.458
180202.77001953125,0.463
180665.77001953125,0.459
181124.77001953125,0.45
181574.77001953125,0.453
182027.77001953125,0.464
182491.77001953125,0.915
183406.77001953125,0.453
183859.77001953125,0.45
184309.77001953125,0.457
184766.77001953125,0.91
185676.77001953125,0.454
186130.77001953125,0.451
186581.77001953125,0.173
186754.77001953125,0.279
187033.77001953125,0.457
187490.77001953125,0.462
187952.77001953125,0.458
188410.77001953125,0.453
188863.77001953125,0.45
189313.77001953125,0.458
189771.77001953125,0.464
190235.77001953125,0.458
190693.77001953125,0.455
191148.77001953125,0.453
191601.77001953125,0.455
192056.77001953125,1.377
193433.77001953125,0.459
193892.77001953125,0.452
194344.77001953125,0.454
194798.77001953125,0.459
195257.77001953125,0.459
195716.77001953125,0.454
196170.77001953125,0.457
196627.77001953125,0.452
197079.77001953125,0.452
197531.77001953125,1.371
198902.77001953125,0.456
199358.77001953125,0.246
199604.77001953125,0.202
199806.77001953125,0.908
200714.77001953125,0.458
201172.77001953125,0.459
201631.77001953125,0.452
202083.77001953125,0.451
202534.77001953125,0.453
202987.77001953125,0.91
203897.77001953125,0.399
